"MEMBER
NAME
(LAST,
FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION
Functional areas include a mechanical room, offices, toilets, isolation room, staff lounge, kitchen, food storage, teacher's stor
teacher's preparation room, reception area, and activity rooms for infants, toddlers and preschool children.
Supporting facilities include mechanical/electrical utilities, sidewalks, designated drop & pick up location, parking lot, a fenc
playground (50% of the playground area to be covered with awnings).
Site improvements include earthwork, topsoil/seed, storm drainage, environmental protection, and landscaping.
A pump station needs to be included in construction do to the poor water pressure on Fort Story.
Low impact development principles will be applied. Stormwater management will be included.","DD-1391 uploaded
tters,
m;
ge,
d"

"Kim, Andy",NJ,Vertical Skills Instruction Facility,"15,000","Joint Base
McGuire-Dix-
Lakehurst, NJ","Joint Base McGuire-
Dix-Lakehurst","Joint Base McGuire-
Dix-Lakehurst, New
Jersey","Updating the infrastructure at Joint Base McGuire Dix Lakehurst, especially on the Dix/Lakehurst side of the
Joint base (JB) is critical both for  retaining mission as well as recruiting new missions. The current training
facility for vertical training (carpentry, masonry-building skills) is semi-permanent and is insufficient to meet
the upcoming training requirements.","As set forth in the accompanying Form 1391, the project if funded will construct new Vertical Skills (Material
Handling) and General Instruction Classroom facilities. Building will be of semi-permanent construction with
concrete floor slabs; pre-engineered steel panels; low-slope or sloped roof; Heating, Ventilation and Air
Conditioning (HVAC); and plumbing, mechanical, security and electrical systems. Supporting facilities includ
repairs to paving and fencing, and utility connections. Accessibility for the disabled will be provided.
Antiterrorism force protection and physical security measures will be incorporated into the design including
maximum standoff distances from roads, parking areas and vehicle unloading areas. Sustainability/Energy
measures will be provided. Facilities will be designed to a minimum life of 25 years in accordance with DoD's
Unified Facilities Criteria (UFC 1-200-02) including energy efficiencies, building envelope and integrated
building systems performance. Dispose/Demolish 1 building at Joint Base McGuire-Dix-Lakehurst, NJ (4,960
Total SF)."

"Levin, Mike",CA,Emergency Repair of Basilone Road,"75,661","Camp
Pendleton, CA","United States
Marine Corps","Camp Pendleton
Community Plans and
Liaison Office
(CPLO), AC/S G-7
Box 555010
Building 1160, Room
280
MCB Camp Pendleton,
CA 92055-5010","This project repairs the collapsing portion of Basilone Road between the 51 Area and 52 Area that occurred
following the storm events in late 2022 and early 2023. The section of the road developed large cracks and
experienced settlement and slope failures, which prompted the road's closure due to the potential for a large
landslide. A large geotechnical investigation was completed in support of this project to understand the repairs
that would be required to reopen the road. This project follows the recommendations of the geotechnical
investigation to mitigate the potential for a massive landslide and permanently stabilizes the road for traffic an
utilities.","This section of Basilone Road is a major corridor for utilities, including sewer, water, gas, electrical, and
telecommunications, and a landslide would cause the failure of not just the transportation corridor, but utility
service throughout the area. During the road's closure, mutual aid to surrounding communities has been
negatively impacted and response times have slowed. The project has a Federal nexus because the requested
funding would be for purposes authorized by 10 U.S.C. Chapter 169."

"Moylan,
James C.",GA,PDI: Defense Access Roads III,"241,880","Dededo, GU",Navy Base Guam,"Commander, Joint
Region Marianas
Public Affairs Office
PSC 455 Box 211
FPO AP, Guam 96540","This is a Defense Access Roads (DAR) project.
Constructs a single lane roundabout at Potts Junction. Proposed construction includes
removal and replacement of existing pavement as well as installation of new pavement.
Constructs concrete bridges to replace existing bridges in same locations along Route 1,
between Naval Base Guam and Finegayan Cantonment. Work for replacement of bridges includes
demolition of existing brdges and construction of new vehicle bridges.
Constructs strengthened roadways along Routes 1 and 3 to protect existing buried and
surface utilities. Work for minimizing impacts on the utilities includes strengthening the
pavement for one lane of travel in each direction. Pavement strengthening will consist of
thickened asphalt, aggregate base course, subbase and geogrid. Manholes, vaults and
surface utilities will be retrofitted or replaced as necessary.","If this project is not provided, there will be an increased rate of deterioration of the
roads, bridges and utilities, with high risk of failure. In some situations, (i.e. failed
cross culvert) a failure could render the road impassable. If a bridge were to
catastropically collapse or a culvert/utility were to collapse, injury, major property
damage, and even death could occur. A collapsed bridge or a collapsed culvert/utility
would disrupt the roadway network and cause significant inconvenience and economic impact
to Guam, and greatly impact military operations for those who rely on Routes 1 and 3.
Additionally, emergency services could be significantly impacted as detours of up to 35
miles would be required for some of the areas on Route 1. Furthermore, the level of
service of traffic traversing through the Potts Junction intersection will be
significantly degraded. The increased level of congestion is not acceptable and will
contribute negatively to the successful completion of the new mission facilities required
to support the relocation of Marines from Okinawa to Guam."

"Rogers, Mike",AL,Replace General Purpose Warehouse,"34,200","Calhoun
County, AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Replace a general-purpose warehouse to facilitate and enable critical logistics functions related to the
manufacturing, distribution, storage, and repair of critical weapons and equipment at Anniston Army Depot.","Anniston Army Depot is the number-one employer in Chairman Rogers' district and will remain so for years to
come. This project has significant community support due to the capacity increases it will enable at the depot.
This capacity increase will allow for increased defense industry activity, economic expansion, and jobs
creation. If the project is unfunded, Anniston Army Depot will experience significant logistical constraints
related to the manufacturing, distribution, storage, and repair of critical weapons and equipment at Anniston
Army Depot."

"Rogers, Mike",AL,Small Arms Warehouse,"73,800","Calhoun
County, AL","Anniston Army
Depot","7 Frankford Ave,
Anniston, AL 36201","Construct a small arms warehouse to facilitate and enable critical logistics functions related to the
manufacturing, distribution, storage, and repair of small arms at Anniston Army Depot.","Anniston Army Depot is the number-one employer in Chairman Rogers' district and will remain so for years to
come. This project has significant community support due to the capacity increases it will enable at the depot.
This capacity increase will allow for increased defense industry activity, economic expansion, and jobs
creation. If the project is unfunded, Anniston Army Depot will experience significant logistical constraints
related to the manufacturing, distribution, storage, and repair of small arms at Anniston Army Depot."

"Rutherford,
John H.",FL,"P909 Waterfront Emergency Power Planning and
Design","66,650","Mayport, FL","Naval Station
Mayport","Box 280032
Mayport, FL 32228","This provides the planning and design funding for an emergency power station and electrical grid
improvements to sustain essential mission capability up to and including a Category 2 Hurricane.  The
objective of this project is to create an organic emergency electrical power generating capability sufficient to
supply the waterfront independently within 72 hours of passage of a storm or immediately following an
incident disrupting Jacksonville Electric Authority (JEA) power supply.  This project would be capable of
supporting full installation power requirements, is sustainable indefinitely through diesel/natural gas fuel and is
above projected 2065 sea level rise.","This will allow Naval Station Mayport to remain fully mission capable to support returning ships upon clearing
of the entrance channel and basin.  DD-1391 is attached."

"Sherrill,
Mikie",NJ,"Earth Covered Magazine, Installation","6,800","Wharton, NJ",Picatinny Arsenal,"Picatinny Arsenal, 213
NJ-15, Wharton, NJ,
07885",Construction of two new Earth Covered Magazines to allow for increased safe storage of energetic material.,"Current magazines date from 1918 and do not meet physical security standards. This construction is necessary
to avoid delays and excess costs impacting multiple Army Modernization Priorities.

This request is supported by the Picatinny Enhancement Coalition, a group of community and business leaders
dedicated to the future of Picatinny Arsenal."

"Sherrill,
Mikie",NJ,"Lab and Test Building, General Purpose (JCASI2LE)","11,800","Wharton, NJ","CCDC-Armaments
Center, Picatinny
Arsenal","213 NJ-15, Wharton,
NJ 07885","This project would feature three reconfigurable collaborative laboratories. The labs would include capabilities
related to high-priority program development, vertical integration and simulation, and large-scale integration.
The overall project would support the Systems Engineering Directorate at the CCDC-Armaments Center.","Combat Capabilities Development Command does not currently have an enterprise-level facility that can
support simultaneous, interactive development of future armament systems.
This request comes with the support of the Picatinny Enhancement Coalition, a group of local community and
business leaders dedicated to the future of Picatinny Arsenal."

"Strickland,
Marilyn",WA,"Joint Base Lewis-McChord Washington Airfield Fire
Rescue Station (PN78538)","2,900","Joint Base
Lewis-
McChord,
WA","Joint Base Lewis-
McChord","Joint Base HQs,
Box 339500, Mail Stop
1AA,
Joint Base Lewis-
McChord WA 98433-
9500",Plan and Design Funding for Joint Base Lewis-McChord Washington Airfield Fire & Rescue Station,"A properly sized and configured facility is required to support fire protection, firefighting and airfield crash
rescue services per UFC 4-730-10. The existing fire station was constructed in 1952 and has since required six
separate additions to continue meeting operational requirements. The current fragmented design does not
adequately support crucial turnout times, minimum standards set by NFPA 1710, or ADA requirements for
customer access to administrative areas. Vehicle stall
doors are too narrow to safely fit modern fire vehicles and occasionally fail to open. HVAC and electrical
problems cause dispatch communication failures. The training room is too small to accommodate shift
personnel. Electrical panels are not centralized and the system is at maximum capacity. The facility has
asbestos walls and pipe coverings. Due to poor construction, settling, and the Nisqually earthquake, the floors
are sloped and the exterior walls have significant cracks. Reoccurring roof leaks and HVAC issues cause mold
and structural damage."

"Turner,
Michael R.",OH,Advanced Materials Laboratory - C2A,"9,200","Dayton, OH","Wright-Patterson
Air Force Base","5135 Pearson Rd. Bldg
10, Rm 206
Wright-Patterson AFB,
OH  45433","Authorize $9.2 million for Planning and Design (P&D) toward construction of the  Advanced Materials
Research Laboratory (C2A) of the Air Force Research Laboratory  (AFRL) at Wright-Patterson","Materials and Manufacturing research activities take place in Building 20654, a 1970s era  facility with inefficiently configur
geographical separation of personnel within the facility and  failing systems. As research methods and technology have evolv
existing physical  structure is inflexible and does not compliment current research equipment. The facility cannot  effectively
reconfigured to support research requirements. Critical research is significantly  impeded by vibration, temperature and humi
fluctuations and inadequate infrastructure.  AFRL is forced to rely on mission partners off base for some non-sensitive work
excessive vibrations in the building and fluctuations in temperature and humidity. Building  20654 is no longer suitable for h
of-the-art research equipment.
Maintaining Building 20654 to meet even subminimal conditions is expensive. The HVAC  system averages thirty service ca
year. More than $20 million in repairs will be required in  the next three to five years for improvements including replacing t
leaking windows and  exterior, chilled water plant, energy recovery system, exterior stairwell and elevators. In  addition, anot
million is needed to improve reliability of specialized systems for  experimentation. The facility has been approved for demol
Failure to replace the facility will continue to impede advanced collaborative research with  academia, industry, government,
international allies that require standards beyond the  capability of the current building."

"Turner,
Michael R.",OH,Human Performance Wing Laboratory,"40,000","Dayton, OH","Wright-Patterson
Air Force Base","5135 Pearson Rd. Bldg
10, Rm 206
Wright-Patterson AFB,
OH  45433","The Human Performance Wing Laboratory building would house the Airman Systems Directorate of the 711th
Human Performance Wing (711 HPW) of the Air Force Research Laboratory. The directorate studies
developing technologies specific to the human element of warfighting capability, including training, bioeffects,
and bioengineering. Work of the directorate is currently conducted in non-networked, sub-standard, and
physically separated facilities that were constructed between 1942 and 1955 and which have long outdated
laboratory standards. The current facilities are scattered over a mile throughout the base, preventing scientist
and engineer interaction and coordination. The new facility will have classified laboratory space.","The project was the highest priority for the Air Force science and technology projects included among the
Unfunded Requirements for Laboratory Military Construction Projects provided to Congress in FY25. Without
the new building, the directorate will continue to use inadequate laboratory space which does not meet modern
standards required for professional research and development."

"Waltz,
Michael",FL,Install Wastewater,"11,400","Cape
Canaveral, FL","Cape Canaveral
Space Force Station","Samuel Phillips
Parkway
Cape Canaveral,
Florida 32920","Install approximately 18,210 liner feet of 10-inch High Density Polyethylene wastewater force main pipe along
ICBM Road from the northwest intersection of
Samuel Phillips Parkway and Freedom Road to Blue Origin Launch Complex (SLC-36). Work shall be
designed as permanent construction in accordance with the Unified Facility Criteria 3-201-01, Site
Development, Grading, Storm Drain Systems and Unified Facility Criteria 3-240-01, Wastewater Collection
and Treatment.","Currently a sanitary sewage main does not extend down the ICBM Road corridor, significantly impacting the
redevelopment of formerly active space launch
complexes along the corridor. These legacy complexes were originally constructed without sewage collection
system or an aging septic tank that is leaking sewage creating environmental issues."

"Womack,
Steve",AR,Academic Training Center,"74,000","Fort Smith,
AR","Ebbing Air National
Guard Base","4850 Leigh Ave.
Fort Smith, Arkansas
72903","Construct an F-35 Academic Training Center and Liquid Oxygen Supply Storage facility for the Foreign
Military Sales F-35 program's Pilot Training Center. The facility will provide spaces for training classrooms,
flight simulator spaces, conference rooms, and administrative support spaces for the F-35 FMS Pilot Training
Center mission. A flight simulator training facility is required to support the beddown of FMS F-35s at Ebbing
Air National Guard Base. The mission requires 4 simulator bays capable of supporting up to 3 simultaneous
countries training. The liquid oxygen storage building is required to support the training mission.","The city, state, and local community all have demonstrated support for this mission and this project
specifically. The Congressional Delegation along with the Governor strongly support the beddown of FMS F-
35s. The community has shown strong support during the basing process and the EIS process. Please see
attached letters of support from the mayor of Fort Smith, the Arkansas Economic Development Commission's
Director of Military Affairs, and the President/CEO of the Fort Smith Regional Chamber of Commerce."
