member_name_last_first,state,project_name,amount_requested_in_thousands_of_dollars,project_city_county_state,recipient_name,recipient_address,project_purpose,project_justification,fiscal_year
will provide essential Production, Exploitation, and Dissemination (PED) planning and conference space that
supports real world exercises and conventional and unconventional special and irregular warfare scenarios.",2026
"Hudson, Richard",NC,SOF Forward Operating Base Freedom Upgrades,44700,"Cumberland
and Hoke
Counties, NC",Fort Bragg,"Ashemont Road, Fort
Bragg, North Carolina
28315","To construct training facilities at Forward Operating Base Freedom (Freedom Village) for John. F. Kennedy
Special Warfare Center and School (JFKSWCS) in support of special operations training.
Details: Construct concrete block wall buildings on concrete foundation and floor slab for ready building,
organizational classroom, general instruction facility, simulation center, administration space, cadre space, field
latrine and supporting facilities on Forward Operating Base (FOB) Freedom and Freedom Village. Remove
temporary fabric and wooden structures and containers for the permanent training site. Demolition includes existing
concrete slabs and utilities. Department of Defense principles for high performance and sustainable building
requirements will be included in the design and construction of the project in accordance with federal laws and
Executive Orders. Low Impact Development features will be included in the design and construction of this project
as appropriate. Appropriate cybersecurity measures will be applied to the facility-related control systems in
accordance with current Department of Defense criteria. Access for individuals with disabilities will be provided.
Comprehensive interior design and audio-visual services are included.","This project is necessary to provide permanent facilities and infrastructure to support culmination exercises for Civil
Affairs, Psychological Operations, and Special Forces officer MOS producing courses plus urban evasion in SERE
training. Additionally, this project will accommodate Pre-Mission training for SOF units at Fort Bragg, NC. To
support this mission, the JFKSWCS requires adequate space and facilities, located on FOB Freedom and Freedom
Village, configured to accommodate SOF training. The FOB Freedom Training Facility will directly improve mission
readiness, providing expeditious service to SOF units.",2026
"Hudson, Richard",NC,Aircraft Maintenance Hangar,49000,"Rowan
County, NC","Salisbury Readiness
Complex","1195 National Guard
Road, Salisbury NC
28147","Construct 123,856sqft Aircraft maintenance hanger in order to provide consolidated maintenance, repair, and major
overhaul of military aircraft. Facility will include maintenance bay, tech supply, allied trades workshops, production
control, and quality control areas directly related to the maintenance of aircraft, and supervision of component and
assembly rebuilding, and quality control of aviation maintenance requirements for the NCARNG.","Originally constructed in 1976 to support Vietnam-era aircraft, NCARNG AASF #2 is now critically undersized
and its 1970s design struggles to accommodate modern aircraft and maintenance procedures. Mechanics currently
perform maintenance on 6-9 aircraft concurrently by utilizing three inadequate bays and outdoor areas, exposed to
all weather conditions.

This project directly addresses life, health, and safety concerns by providing appropriate facilities for personnel to
inspect and maintain aircraft. Currently, 50% of maintenance occurs on the parking apron or under the wash rack,
unnecessarily exposing staff to weather-related risks. This leads to equipment damage, potentially causing
catastrophic failures endangering both maintenance personnel and aircrew.

The limited space also reduces maintenance effectiveness, lowering operational readiness. Extended maintenance
timelines negatively impact safety and readiness, increasing operational hours between phases, raising O&M and
OPTEMPO costs, and accelerating airframe wear and tear.",2026
"Jacobs, Sara",CA,"Reconfigurable Cyber Laboratory, Naval Base Point
Loma",67690,"San Diego, CA","U.S. Navy, Naval
Base Point LOma","140 Sylvester Road
San Diego, CA 92106-
3251","Constructs a reconfigurable computational and analysis cyber laboratory to enable offensive and defensive cyber
teams to jointly test Command, Control, Communications, Computers and Intelligence Surveillance (C4I) systems in
one location to support fleet missions, shore sites and expeditionary forces.","An adequate and reconfigurable cyber laboratory facility is required to allow for controlled testing of different
platform configurations and systems as directed by Secretary of the Navy (SECNAV) and Chief of Naval
