"MEMBER NAME
(LAST, FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION
DoD's Unified Facilities Criteria (UFC 1-200-02) including energy efficiencies, building envelope and integrated
building systems performance.","This project is required to provide a safe and efficient indoor facility for receiving, reconfiguring, and shipping
munitions, arms, and explosives to meet the primary munitions depot requirements of the Army Power Projection
Program (AP3) and the requirement to rapidly configure combat and sustainment loads for direct shipment to the
modular Operating Force and Special Operations Forces conducting Overseas Contingency Operations. The
proposed facility will provide the Anniston Defense Munitions Center with the capability to configure and ship
combat load munitions directly to the requesting deployed/deploying unit within 24 hours. The project will also
provide storage capability, additional staging and consolidation capabilities, additional docks to handle multiple
shipments, and expand the footprint to allow for more efficient access and maneuverability for commercial carriers.
This project will provide ANMC
a consolidated shipping center to meet the need for non-compatible munitions shipping and receiving space in
support of the requirement to provide rapid outload support for Overseas Contingency Operations."

"Rogers, Mike",AL,Welding Shop,"52,000","Anniston
Army Depot
Alabama, AL","Anniston Army
Depot Alabama","7 Frankford Ave,
Anniston, AL 36201","Construct a combat vehicle welding repair facility that will accommodate modernized arch gorging/cutting and
welding process. The facility layout will include work areas for component and hull welding operations, climate
controlled administrative offices, separate clean and dirty locker rooms and shower areas. The facility will include
all required building systems such as OSHA mandated ventilation systems, work area lighting, fire alarm systems,
energy management control system interface, safety showers, eye lavage, fire suppression systems, and information
systems. Project also includes structural pits with equipment (positioners, grating and ventilation), antiterrorism
measures and building information systems. Supporting facilities will include underground electrical service, water
service, sewer service, natural gas service, laydown/staging area, storm drainage, and site improvements. Building
information systems for this project are unique in nature and not included in the unit cost of the building.
Heating and cooling will be provided by self-contained units. Measures in accordance with the Department of
Defense (DoD) Minimum Antiterrorism for Buildings standards will be provided. Comprehensive building and
furnishings related interior design services are required. Access for individuals with
disabilities will be provided. Cyber Security Measures will be incorporated into this project. Sustainability/Energy
measures will be provided. Facilities will be designed to a minimum life of 40 years in accordance with DoD's
Unified Facilities Criteria (UFC 1-200-02) including energy efficiencies, building envelope and integrated building
systems performance. Air Conditioning (Estimated 32 Tons).","To ensure the effective and efficient rebuild, overhaul, and modification of combat vehicles needed to meet
Department readiness requirements. The proposed welding facility will allow a dedicated disassembly and
assembly facility and eliminate mixed inefficient industrial operations. It will consolidate hazardous welding
processes as well as implement modern environmental controls to collect and contain hazardous materials. This
project will construct a new climate-controlled welding facility adjacent to Building 400, where M1, Stryker,
AVLB Family of vehicle hull cutting and welding activities are consolidated into a single facility. The proximity
with Building 400 will allow uninterrupted process flow of vehicles through the maintenance cycle. The primary
benefits will be increased capabilities and reduced turnaround times in
both Building 400 and the new welding facility. The project will free up prime production space within Building
400 that can be focused on hull, turret, and other large component reassembly missions. The elimination of welding
will result in a more dust-free environment that is critical for disassembly/assembly operations, as well as
eliminating toxic cadmium dust and fumes caused by cadmium welding."

"Rogers, Mike",AL,Main Gate and Entry Control Facilities,"53,000","Anniston
Army Depot
Alabama, AL","Anniston Army
Depot","Anniston Army Depot
7 Frankford Avenue
Anniston, AL 36201-
4199","Cost to Complete for a Main Gate with an Access Control Point, Commercial Vehicle Inspection Facility, and
Visitor Control Center to bring Anniston Army Depot's non-compliant, traffic-backing entry control infrastructure
into compliance and eliminate ongoing security vulnerabilities.","Although minimally functional in it's current configuration, the lack of a standard design visitor control center,
appropriate POV and large vehicle inspection and parking facilities and passive/active barriers will continue to
constitute a security risk to the Administrative and other areas. Without a separate Large Vehicle staging and
inspection area, traffic will continue to be disrupted causing a back up onto Bynum Blvd."

"Rutherford, John H.",FL,"P670 Multi Aircraft Paint & Strip Facility Planning and
Design","26,515","Jacksonville,
FL","Naval Air Station
Jacksonville","Naval Air Station
Jacksonville
6801 Roosevelt Blvd
Jacksonville, Florida
32212","This project would provide planning and design funding for a multi-story, reinforced concrete structure consisting
of one large aircraft paint bay, seven small aircraft paint bays, and a multi-story administration/equipment area.
Support spaces will include paint mixing and equipment storage. This project would be to support Fleet Readiness
Center Southeast.","A safe, environmentally compliant, and well-designed paint and strip facility is required to support depot aircraft
maintenance and repair services to the fleet. New paint requirements force Fleet Readiness Center Southeast to
upgrade current facilities. New building design is required to meet these needs. Paint operations include multiple
hangars for prime and paint workload for the F/A18 A-F, H-60, F-5, T-6, T-44, T-45, F-35, and P-8A. Paint is an
essential part of the operations process to return aircraft to the fleet. Current facilities are inadequate in size and
quantity for future workload. Without this project, paint operations will continue to operate without proper
ventilation and constant rework will occur. Future workload will fall into backlog as workload increases and
facilities will continue to degrade. Undesirable, inefficient painting methods as well as heat safety issues will
continue to be normal operations."

"Scott, Austin",GA,"23rd Security Forces Squadron Military Working Dog
Flight Operations Facility","15,900","Lowndes
County, GA","Moody Air Force
Base","4851 Burrell Street,
Building 404, Moody
AFB, GA 31699","The funding would be used for the construction of an adequately sized, properly configured military working dog
kennel facilities required to support the on-going missions of the 820th Base Defense Group and the 23d Security
Forces Squadron that will include all required functional space for military working dogs and personnel and meet
all health and safety standards.","The project is an appropriate use of taxpayer funds because the existing facility does not meet mission requirements
for base defense and security forces military working dog operations and negatively impacts mission execution.
The current military working dog kennels facility are over 20 years old and was designed and constructed to a less
robust standard. Minimum requirements for care and housing of military working dogs to ensure their continued
good health and well-being are not being met. Minimum requirements for sustained operations by military handlers
and trainers are also not being met."

"Shreve, Jefferson",IN,Indiana National Guard Aircraft Maintenance Hangar,"55,000","Shelbyville, IN","Indiana National
Guard","2002 S. Holt Road,
Indianapolis, IN 46241","This project will provide design and engineering funds to construct 87,088 square feet (SF) and alter 23,557 (SF)
for 77 Soldiers and MTOE equipment required to maintain and repair 13 aircraft. The construction effort consists
of the following: Operations and Admin Area: 19,883 SF and Aviation Hangar Area: 67,205 SF.
This project supports the 38th Aviation CBT BDE and will replace the inefficient maintenance structure. It
increases readiness of aviation assets by providing the required specialty shops and right-sized maintenance bays for
the current 13 fielded modern aircraft.",Letter of support from TAG and Rep Spartz

"Thompson, Mike",CA,Beale AFB- Multi-Domain Operations Complex,"182,300","Yuba County,
CA","Beale Air Force
Base, California","Beale Airforce Base,
California","Beale Air Force Base is home to the only high-altitude Intelligence, Surveillance, and Reconnaissance Wing in the
Air Force that provides decision advantage and combat power worldwide to meet the nation's call. With the high-
tempo and essential mission Beale Air Force Base provides to the Air Combat Command and combatant
commanders, it is important to have the tools and personnel necessary to meet the specific and essential
requirements in a timely and safe manner. The Multi-Domain Operations Complex provides full-spectrum
Command and Control readiness and optimizes worldwide manned high-altitude reconnaissance and multidomain.
The Multi-Domain Operations Complex will provide space for the highaltitude Intelligence, Surveillance, and
Reconnaissance mission planning cell, which has grown by 117 personnel, space to implement emerging
technologies (artificial intelligence, multi-domain operations, 5th Generation) and will integrate current Intelligence,
Surveillance, and Reconnaissance platforms, sensor maintenance, and flight operations, improving high-altitude
reconnaissance operational efficiency. This project allows for the implementation of next generation high altitude
reconnaissance sensors and for the addition of theater wide Command and Control functions to high-altitude
aircraft. This project is required to divest ~72% of Building 1086, a cornerstone of Beale's long-range facility
strategy, and to provide a purpose-built facility, complete with information technology architecture, power, and
building systems required to support current and future mission requirements. This is not a tenant or supported
service requirement.","Building 1086 was designed and constructed in an ad-hoc fashion beginning in 1959. It is severely degraded, with a
building condition index of 70 and has documented Fire Safety Deficiencies due to no mass notification and lack of
fire suppression. Building 1086 also has multiple Risk Assessment Codes in regards to electrical issues, egress
noncompliance, and asbestos. This facility does not have the structural or infrastructural capabilities to support
emerging technologies and their associated power and cooling requirements. Readiness for the mission is impeded
due to separation of maintenance (Building 1086) and training & operations (Building 1025). A demolition and
renovation project for portions of the building have been programmed for Building 1086 in the Facilities,
Sustainment, and Restoration Program for Fiscal Year 2027. These aging facilities supporting the high-altitude
Intelligence, Surveillance, and Reconnaissance program at Beale are designed for the 1960's era and cannot meet
mission needs. Beale Air Force Base is the only base delivering globally integrated intelligence, surveillance, and
reconnaissance in support of National Defense Objectives. IMPACT IF NOT PROVIDED:
The Air Force will be unable to support the modernization of the 1960's Cold War era infrastructure and the
incorporation of next generation technologies will be further delayed. Geographically dispersed functions will
continue to cause inefficiencies in daily operations. Personnel in Building 1086 will continue to work in an
unhealthy, unsafe environment with numerous Fire Safety Deficiencies and Risk Assessment Codes."

"Turner, Michael R.",OH,"Advanced Materials Research Laboratory (C2A)
Planning & Design","17,000","Wright-
Patterson
AFB, OH",Chris Kruschke,"4375 Chidlaw Road,
Wright Patterson AFB,
Ohio 45433","The project is planning & design for a multi-story 70,000 square foot laboratory and research facility to
accommodate requirements of the Air Force Research Laboratory’s (AFRL) Materials and Manufacturing
Directorate (AFRL/RX). It will provide a secure, state-of-the-art, efficient research facility to provide modern
laboratories and to consolidate geographically separated research activities of the directorate. The initiative will
support research activities including nano-electronics, photonics, soft matter, durability and structural analysis of
materials and composites in support of state-of-the-art weapons systems. The building will support ultra-high
bandwidth IT infrastructure, vibration isolation, precision humidity control and clean utilities, which are necessary
to sustain current advanced materials research. The existing advanced materials research laboratory building does
not meet today’s laboratory technological standards and cannot effectively be reconfigured. Without the new
building, lead times and costs for supporting research projects will continue to increase resulting in declining
production of leading-edge materials for weapon systems and warfighters.","The project is a good use of taxpayer funds because advanced materials research is critical to the mission of the
United States Air Force and to national defense because the performance, survivability, and reliability of aircraft
and space systems depend on the materials from which they are built. Advanced materials enable lighter, stronger,
and more heat-resistant structures that improve fuel efficiency, range, payload capacity, and maneuverability in
modern aircraft and spacecraft. They also support technologies such as stealth coatings that reduce radar signatures,
high-temperature alloys and ceramics that allow jet engines and hypersonic systems to operate in extreme
environments, and radiation-tolerant materials that protect satellites in space. The project will help ensure that the
Department of the Air Force can maintain cutting edge research supporting development of next generation
weapons systems without falling behind our military adversaries in these fields. Taxpayer funds used on this
building will advance national defense and ensure military dominance in materials and manufacturing research."

"Turner, Michael R.",OH,Human Performance Wing Laboratory,"21,000","Wright-
Patterson
AFB, OH","Wright-Patterson
AFB","4375 Chidlaw Road,
Wright Patterson AFB,
Ohio 45433","The project is a multi-story 42,000 square foot laboratory and research facility to accommodate requirements of the
Air Force Research Laboratory (AFRL) 711th Human Performance Wing (HPW) Airman Systems Directorate
(RH) to increase efficiency and effectiveness. The project includes a reinforced concrete floor slab, poured concrete
foundation, structural steel frame, standing seam metal roof, fire protection and suppression, intrusion detection
system (IDS), all necessary utilities, precise HVAC and humidity controls, isolation from building vibrations, and
site improvements. This facility includes classified high bay laboratory, classified low bay laboratory, Intelligence
Community Directive (ICD) 705, and mission support space. The project would demolish facilities 20190, 20197,
20198, 20434, and 20248 (partial).","Human performance research is a field that investigates the factors influencing how humans perform tasks. It aims
to understand the biological, psychological, and environmental influences on human capabilities and effectiveness.
Human performance technology is an important part of weapons system design. The Air Force can come up with
high technology aircraft, missiles, and armaments, but if they are only going to be as successful as the human
interface, which is what human performance research explores. Construction of this building will assist enhancing
the human component of warfighting capabilities, including training, bioeffects, and bioengineering. Existing
laboratory space fails to meet modern standards essential for conducting professional research and development
activities. The building is imperative to ensure that the Department of the Air Force can maintain cutting edge
research supporting development of next generation weapons systems without falling behind our military
adversaries in these fields. Taxpayer funds used on this building will advance national defense and ensure military
dominance in human performance research."

"Wilson, Joe",SC,"Permanent Party Barracks, B2449","13,960","Fort Jackson,
SC",TBD,TBD,"This project repairs internal failed or failing components, including plumbing, mechanical, and electrical systems,
ceilings, floors, and floor coverings. This project will also repair external failed and failing building envelope
components, including windows, walls, and doors, and remove persistent mold growth and seals.","The project aims to repair a failing Permanent Part Barracks at Fort Jackson, housing single Soldiers. Immediate repairs are needed for
HVAC systems to prevent microbial growth affecting Soldiers' health. These issues impact retention, readiness, and morale. The repairs
support units training over 60,000 Soldiers annually, ensuring adequate housing and mission execution."

"Wilson, Joe",SC,"Repair Trainee Barracks, B4255","2,420","Fort Jackson,
SC",TBD,TBD,"This project will repair a failing Trainee Barracks on Fort Jackson. Repairs include plumbing, mechanical, and
electrical systems, as well as ceilings, floors, and floor coverings. This project will also repair external failed and
failing building envelope components, including windows, walls, and doors, remove persistent mold growth, and
seals.","The focus is on addressing the urgent needs of the oldest trainee barracks at Fort Jackson while awaiting MILCON
project approval. Immediate repairs will target HVAC systems, plumbing, and interior finishes to ensure safety and
functionality. These repairs are crucial for sustaining training activities and setting a positive tone for trainees,
reflecting the Army's commitment to their well-being and development."

"Wilson, Joe",SC,"Transient UPH, AST, DSA","142,000","Fort Jackson,
SC",TBD,TBD,"Construct a Drill Sergeant Academy (DSA) Barracks with AIT Academic classroom space for 356 Soldiers.
Includes living quarters, classrooms, fitness area, and security features.","The unit at Fort Jackson faces facility space deficits, spending $6M annually on private hotels for students and
personnel. Borrowing space from other units hampers training. The small dining facility lacks capacity for
increased missions and lacks a safe queuing area during bad weather."

"Wilson, Joe",SC,Trainee Barracks Complex (BCT 5),"261,000","Fort Jackson,
SC",TBD,TBD,"Construct a standard design Basic Combat Trainee (BCT) Complex for 1,200 Soldiers.","This complex is the oldest on post and is in poor condition. Fort Jackson, the largest basic training facility, faces
challenges in meeting the mission standards for Soldier readiness because of the maintenance costs and building
configuration that are not to current standards. Additionally, this basic training unit's proximity to the main gate and
excessive distances between the complex and the training areas result in lost time training and additional costs to
transport trainees to training areas."

"Wilson, Joe",SC,Child Development Center,"51,000","Fort Jackson,
SC",TBD,TBD,"Construct a large (357 Children) standard design child development center with adjacent outdoor play areas for
children between 5 weeks and 5 years of age. The facility will include an outdoor play area with age-appropriate
child development equipment, safety surfacing, and fencing.","A cost-effective replacement for the child development center is crucial. Without it, health and safety risks persist,
endangering military-connected children. Closure would impact the United States Army Training Center (USATC)
Mission."
