"MEMBER NAME
(LAST, FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION

"Moore, Blake D.",UT,F-35 Canopy Repair Facility,"59,000","Hill AFB, UT","Utah Department of
Veterans and
Military Affairs","Hill Air Force Base,
7981 Georgia St,
Hill AFB, UT 84056.","The funding would be used to construct a single story medium bay industrial facility consisting of reinforced concrete
footings, foundation, and floor slabs, structural steel framed insulated masonry walls, and insulated steel frame roof.
The proposed facility is for the maintenance and repair of low observable canopy assemblies associated with F-35
fighter aircraft.

The project is an appropriate use of taxpayer funds because the Ogden Air Logistics Complex at Hill AFB has been
selected by the Air Force as the sole Deport Source of Repair for canopy repair work for all F-35 aircraft in the Air
Force inventory.

Additionally, the facility will support F-35 canopies for the Navy, Marines, and several of our allied nations.
Currently, F-35 canopy repair work is being done in building 271 and building 850, which are only able to support
a low initial production rate of six assemblies per month. This rate is acceptable at the present time, but as the Air
Force continues to acquire more F-35 aircraft, more of the canopy depot maintenance work currently being done
by the manufacturer will soon, by contract, be transferred to the Air Force; at which time a much larger repair
facility on base will need to be ready.","The proposed facility is for the maintenance and repair of low observable canopy assemblies associated with F-35
fighter aircraft. The facility will include enclosed loading dock(s), administrative office space, fire detection &
suppression, intrusion detection, and all other supporting elements for a complete and usable facility including: an
adequate parking lot, other required pavements, communication support, site lighting, and required utilities including
sanitary sewer, storm drain system, potable and non-potable water, electrical, and natural gas. F-35 aircraft have
been arriving at Hill AFB in increasing numbers to undergo Depot repair or modification since 2015. The facility will
provide a world class facility for the repair, maintenance, and modification of F-35's low observable canopy
assemblies. This project will also relocate and consolidate F-35 canopy workload. This consolidation will
significantly reduce depot facility energy consumption, operating costs, and logistic/schedule movements."

"Moylan, James C.",GU,PDI: Defense Access Roads III,"241,880","Dededo, GU","NAVFAC HQ
MILCON Program
Manager","Commander, Joint
Region Marianas Public
Affairs Office
PSC 455 Box 211
FPO AP, Guam 96540","This is a Defense Access Roads (DAR) project.
Constructs a single lane roundabout at Potts Junction. Proposed construction includes

removal and replacement of existing pavement as well as installation of new pavement.

Constructs concrete bridges to replace existing bridges in same locations along Route 1,

between Naval Base Guam and Finegayan Cantonment. Work for replacement of bridges includes

demolition of existing brdges and construction of new vehicle bridges.

Constructs strengthened roadways along Routes 1 and 3 to protect existing buried and

surface utilities. Work for minimizing impacts on the utilities includes strengthening the

pavement for one lane of travel in each direction. Pavement strengthening will consist of

thickened asphalt, aggregate base course, subbase and geogrid. Manholes, vaults and

surface utilities will be retrofitted or replaced as necessary.","If this project is not provided, there will be an increased rate of deterioration of the
roads, bridges and utilities, with high risk of failure. In some situations, (i.e. failed
cross culvert) a failure could render the road impassable. If a bridge were to
catastropically collapse or a culvert/utility were to collapse, injury, major property
damage, and even death could occur. A collapsed bridge or a collapsed culvert/utility
would disrupt the roadway network and cause significant inconvenience and economic impact
to Guam, and greatly impact military operations for those who rely on Routes 1 and 3.
Additionally, emergency services could be significantly impacted as detours of up to 35
miles would be required for some of the areas on Route 1. Furthermore, the level of
service of traffic traversing through the Potts Junction intersection will be
significantly degraded. The increased level of congestion is not acceptable and will
contribute negatively to the successful completion of the new mission facilities required
to support the relocation of Marines from Okinawa to Guam."

"Olszewski, Johnny,
Jr.",MD,Martin Runway Improvement Program,"2,000","Baltimore
County, MD","Maryland Air
National Guard","701 Wilson Point Rd,
Middle River, MD
21220","Funds will be used to properly configure the runway in order to make it free of obstructions with remaining
obstructions clearly marked

The project is an appropriate use of taxpayer funds because it will support the operational and training requirements
of the assigned A-10 aircraft and other aircraft in the greater Washington-Baltimore area.","The runway located on Martin State Airport in Baltimore County is owned, operated, and maintained by the
Maryland Aviation Administration (MAA), the state-chartered airport authority. The Maryland Air National Guard
(MDANG) shares in the use of the airfield facilities under an Airport Joint Use Agreement. The runway is was
reconstructed/ reconfigured to a length of 8,100 liner feet by 150 liner feet wide under an existing project.
Requested funds would be used properly configure the runway in order to make it free of obstructions with
remaining obstructions clearly marked/ light in order to support the operational and training requirements of the
assigned A-10 aircraft and other aircraft in the greater Washington-Baltimore area.
1. Removal of vegetative obstructions in accordance with Federal Aviation Regulation (FAR) Part 77 Approach
and Transitional surfaces located on airport owned property (main campus) and the Approach and Transitional
surfaces within the Runway Protection Zone (RPZ) located on airport owned property, as well as airport owned
property north of Eastern Boulevard/Amtrak. (75 acres)
2. Installation/construction of obstruction lighting along the sidelines of the runway to alert pilots to presence of FAR
Part 77 obstructions (vegetation) remaining after the removal effort. Installation of obstruction lighting along Amtrak
line to alert pilots to presence of FAR Part 77 obstructions (lowered catenary poles) remaining after the removal
effort. (16 lights)
3. This project also includes tree mitigation required to replenish the forested resources removed under this effort,
and to account for stream impacts anticipated during construction."

"Rogers, Mike",AL,Access Control Point,"89,000","Anniston , AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project.","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project."

"Rogers, Mike",AL,Anniston Army Depot General Purpose Warehouse,"32,000","Anniston , AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Construct a new permanent General-Purpose Warehouse (GPW), with administrative space replacing 2 existing
warehouse structures. The primary facility is a permanent, noncombustible GPW with concrete floors (epoxy sealed
tops) and a 20-foot (6.09-meter) clear interior stacking height. An interior annex space will include a warehouse
administration office, training/conference facility, locker/shower/latrine, security office, fire suppression, mechanical,
electrical and communications. Additionally, installation of an Intrusion Detection System (IDS) and connection to
Utility Monitoring Control Systems (UMCS) will be provided. Sustainable Design and Development (SOD) and
Energy Policy Act 2005 (EPActo5), and Energy Independence and Security Act (EISA) OF 2007 features will be
provided. Sustainable principles, to include life-cycle cost effective practices and Low Impact Development
Integrated Management Practices (LID-IMPs) and sustainability and energy enhancement measures will be
integrated into the development, design and construction of the project. Administrative areas will be accessible for
persons with disabilities. Supporting facilities include site development, all utilities and connections, fire protection,
storm drainage, lighting, paving (access roadways, hardstand aprons, parking) walks, curbs and gutters,
landscaping, and signage. Administrative offices will be provided heat and air conditioning while the warehouse will
be ventilated. Buildings 60 and 61 at ANAD will be demolished, and the associated storage capacity will be
included in the new warehouse capacity. Measures in accordance with the Department of Defense (DoD) minimum
antiterrorism standards for the building will be provided.","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project."

"Rutherford, John H.",FL,"P670 Multi Aircraft Paint & Strip Facility Planning and
Design","265,150","Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project would provide planning and design funding for a multi-story, reinforced concrete structure consisting of
one large aircraft paint bay, seven small aircraft paint bays, and a multi-story administration/equipment area. Support
spaces will include paint mixing and equipment storage. This project would be to support Fleet Readiness Center
Southeast.","A safe, environmentally compliant, and well-designed paint and strip facility is required to support depot aircraft
maintenance and repair services to the fleet. New paint requirements force Fleet Readiness Center Southeast to
upgrade current facilities. New building design is required to meet these needs. Paint operations include multiple
hangars for prime and paint workload for the F/A18 A-F, H-60, F-5, T-6, T-44, T-45, F-35, and P-8A. Paint is
an essential part of the operations process to return aircraft to the fleet. Current facilities are inadequate in size and
quantity for future workload. Without this project, paint operations will continue to operate without proper
ventilation and constant rework will occur. Future workload will fall into backlog as workload increases and facilities
will continue to degrade. Undesirable, inefficient painting methods as well as heat safety issues will continue to be
normal operations."

"Rutherford, John H.",FL,P034 Communications Center & Infrastructure,"82,140","Jacksonville,
FL","Marine Corps
Support Facility
Blount Island","Marine Corps Support
Facility Blount Island
5880 Channel View
Blvd
Jacksonville, FL
32226","This project replaces and upgrades existing data and voice communication infrastructure throughout the installation
to the entry point of each Blount Island building. Provides low-rise communication center that will operate and
maintain data and communications systems serving Blount Island. Proposed construction is steel-frame with
reinforced concrete masonry unit walls, standing seam metal roof, and pile foundations. This project is included in
the FY 25 FYDP for FY 28. Facility-related control systems include cybersecurity features in accordance with
current Department of Defense (DoD) criteria. Built-in equipment includes backup diesel generators, computer
room air conditioning units (CRAC), clean agent fire suppression system, vehicle exhaust system, one
passenger/freight combination elevator, storage cages and shelving, uninterruptable power source (UPS) and
communications racks and cabinets.","The MCSF-BI mission is to support the Blount Island Command's (BICmd) Maritime Prepositioning Force (MPF)
and growing Global Positioning Network (GPN) program and its mission of supporting worldwide military
operations through planning, coordinating, and executing the logistics efforts of the MPF program. MCSF-BI S6,
BICmd 931, and 2NB comprise the communication function. They require a communications center for network,
telecom, cyber security and maintenance to support operations, locally and around the globe. Current facility is
undersized and personnel and equipment are located within the minimum Explosive Safety Quantity Distance
(ESQD) arc for ammunition operations. This is a major command and control vulnerability in the event of an
explosive incident. Force Design 2030 established Commandant of the Marine Corps (CMC) priorities including
requirements for Installation Communications Grid. Blount Island communication infrastructure was not upgraded in
the MARCORSYSCOM Base Telephone Infrastructure Upgrade (BTIU) program of 2000 and has remained as
essentially 1970/1980 technology with the exception of spot fixes and limited repairs. The primary issue with
configuration is daisy-chaining the network from one building to the next which can cause outages for facilities
downstream of an initial outage. In addition, facilities do not have redundant communication sources."

"Rutherford, John H.",FL,P683 F35 Aircraft Engine Repair Facility,"374,660","Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project consists of new construction of an aircraft engine repair facility at Fleet Readiness Center Southeast
which includes administrative space and associated adjacent parking facilities. Built-in equipment includes 37 bridge
dual hoist cranes (5 ton), crane rails, cylinders, and five passenger/freight elevators. This project is included on the
FY 25 FYDP as incremental funding in FY27 and FY28.","The funding would be used for new construction of an aircraft engine repair facility which includes administrative
space and associated adjacent parking facilities.  This facility is in support of the new mission for the Maintenance,
Repair, Overhaul, and Upgrade for the F135 engines at Fleet Readiness Center Southeast. This project is included
on the FY 25 FYDP as incremental funding in FY27 and FY28.

Fleet Readiness Center Southeast provides efficient, high quality, and cost effective Maintenance, Repair, Overhaul,
and Upgrade (MRO&U) of aircraft, engines, and aeronautical components to support the American Warfighter.
This project is required for FRCSE to meet new program capacity requirements by 2034 to support the F135
engines that power all three variants of the F-35 Lightning II fighter aircraft. Current projections of all modules show
a steady state of 360 events per year at FRCSE: output of 120 power modules, 120 fans, 60 augmenters, and 60
nozzles. An estimated 400 will be required to support the mission."

"Rutherford, John H.",FL,P290 Child Development Center Planning and Design,"45,750","Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project provides the planning and design funding of a one story Child Development Center (CDC) properly
located, configured, and designed to meet the requirements of FC 4-740-14N and other pertinent codes/criteria for
workflow, building system/infrastructure function( for utilities and access routes) to support the CDC mission on
board NAS Jacksonville.  This project is in the FY 25 FYDP for FY28.","The funding would be used for the planning and design of a one-story Child Development Center (CDC) to provide
additional childcare capacity for the military personnel, authorized civilians, and their families with full time, quality
childcare and development for children. While NAS Jacksonville's childcare programs have been successful, their is
currently a significant wait list for the existing CDC."

"Strickland, Marilyn",WA,"Washington Air National Guard - Western Air Defense
Sector - Generator Replacement","2,800","JBLM, WA","Washington Air
National Guard -
Western Air Defens","852 Lincoln Blvd
JBLM, WA 98538","The generators are over 20 years old and no longer supported by the manufacturer. The switch gear is over 40
years old and not compatible with any generator operating system. Generator and switch failure will have loss of
mission and affect the ability to detect intrusions of national airspace.","32 USC 902 - The Western Air Defense Sector, with headquarters at Joint Base Lewis-McChord, Washington, is
one of two sectors responsible to the Continental U.S. North American Aerospace Defense Command Region
(CONR) and the North American Aerospace Defense Command (NORAD) for peacetime air sovereignty,
strategic air defense, and airborne counterdrug operations in the continental United States.  the generator ensures
mission continuity during power failures enabling continuous monitoring of sovereign airspace."

"Strickland, Marilyn",WA,JBLM Fire Station 105,"68,095","JBLM, WA","Joint Base Lewis-
McChord","Joint Base HQs, Box
339500, Mail Stop
1AA
JBLM, WA 98433","Construct a multi-company Department of Emergency Services facility with headquarters and airfield fire and crash
rescue capabilities at Joint Base Lewis-McChord (JBLM), WA.","The funding would be used for construction of the Joint Base Lewis-McChord Airfield Fire & Rescue Station.
JBLM's McChord Airfield cannot operate without an airfield fire & rescue station. Every building system in the
current facility (Bldg J0006) is failing despite years of repairs. Mold from water leaks and excess moisture continues
to cause health and safety concerns for firefighters. Aircraft crash rescue/fire fighting teams will continue to
experience reduced response times, thus resulting in increased risk to life, health and property, as well as challenges
to support to world-wide deployment missions."

"Van Drew, Jefferson",NJ,AQRC099002; Maintenance Hangar Addition Phase 1,"68,000","Egg Harbor
Township, NJ","New Jersey Air
National Guard","Curtiss Rd, Egg Harbor
Township, NJ 08234","The 177th Maintenance Group requires an adequately sized and configured maintenance hangar for the maintenance
of 18 Primary Assigned F-16s of the 177th Fighter Wing (NORTHCOM Alert).  The hangar must accommodate 6
maintenance spaces for the assigned mission.  Hangar is required to provide space for scheduled inspections,
landing gear retraction tests, major maintenance on airframe repairs, and ensuring Technical Order (T.O.)
compliance and making related modifications.
The 177th Fighter Wing currently lacks the 6 required maintenance spots to perform fighter maintenance and lacks
adequate, correctly sized maintenance shops.  Building 246 is the current maintenance hangar and only supports 4
undersized locations for the assigned F-16s which do not meet the safety clearance requirements.  Companion
project AQRC239000, Alter Maintenance Hangar Phase 2 will convert the existing space to aircraft maintenance
shop space.
Without this project, the 177th Maintenance Group will continue to operate with 66% of required maintenance
spots, impacting the utilization rate, flying schedule, training, and operations of the 177th Fighter Wing to include the
assigned NORTHCOM alert mission.  Aircraft will continue to be parked closer to fixed obstructions than allowed,
causing increased risk to maintenance personnel.
This project directly aligns to the National Defense Strategy (NDS) by enabling the defense of the homeland through
the 177 FW’s Aerospace Control Alert (ACA) mission and building a resilient defense ecosystem flexible enough to
adapt to future missions and requirements.","This project is rated as the #1 priority by the Adjutant General of the NJ Air National Guard in their 2025
MILCON Scoring and Prioritization Data Call. This project is strongly supported by the local community, including
the government of Atlantic County."

"Wittman, Robert J.",VA,Shore Power for Virginia Class Submarines,"2,200","Yorktown, VA","Naval Weapons
Station Yorktown","Naval Weapons Station
Yorkton, 160 Main Rd,
Yorktown, VA 23691","This is a MILCON request to provide $2,200,000 in Planning & Design funds for Shore Power for Virginia Class
Submarines at Naval Weapons Station Yorktown.
The project will construct a new 3,200A utility substation at the south end of Pier R3 at NWS Yorktown
for Virginia Class submarines to conduct loading and unloading operations
The project is currently funded in FY29. However, the project currently needs additional Planning & Design funds.
P&D funding of $2.2 million would take the project to 100% design.
The current working estimated cost of the full project is $21,600,000 as of 22 MAY 2025. A Project Data Sheet
(P1291) is available.","NWS Yorktown substation at Pier R3 is currently only capable of proving 50 percent of the shore power
requirement of the Virginia Class (VACL) submarines.

Without the proposed power upgrades, inadequate shore power will cause reduced operational capability leading to
increases in costs, maintenance, and deployment impacts for Virginia Class submarines."

"Rutherford, John H.",FL,P034 Communications Center & Infrastructure,"82,140","Jacksonville,
FL","Marine Corps
Support Facility
Blount Island","Marine Corps Support
Facility Blount Island
5880 Channel View
Blvd
Jacksonville, FL
32226","This project replaces and upgrades existing data and voice communication infrastructure throughout the installation
to the entry point of each Blount Island building. Provides low-rise communication center that will operate and
maintain data and communications systems serving Blount Island. Proposed construction is steel-frame with
reinforced concrete masonry unit walls, standing seam metal roof, and pile foundations. This project is included in
the FY 25 FYDP for FY 28. Facility-related control systems include cybersecurity features in accordance with
current Department of Defense (DoD) criteria. Built-in equipment includes backup diesel generators, computer
room air conditioning units (CRAC), clean agent fire suppression system, vehicle exhaust system, one
passenger/freight combination elevator, storage cages and shelving, uninterruptable power source (UPS) and
communications racks and cabinets.","The MCSF-BI mission is to support the Blount Island Command's (BICmd) Maritime Prepositioning Force (MPF)
and growing Global Positioning Network (GPN) program and its mission of supporting worldwide military
operations through planning, coordinating, and executing the logistics efforts of the MPF program. MCSF-BI S6,
BICmd 931, and 2NB comprise the communication function. They require a communications center for network,
telecom, cyber security and maintenance to support operations, locally and around the globe. Current facility is
undersized and personnel and equipment are located within the minimum Explosive Safety Quantity Distance
(ESQD) arc for ammunition operations. This is a major command and control vulnerability in the event of an
explosive incident. Force Design 2030 established Commandant of the Marine Corps (CMC) priorities including
requirements for Installation Communications Grid. Blount Island communication infrastructure was not upgraded in
the MARCORSYSCOM Base Telephone Infrastructure Upgrade (BTIU) program of 2000 and has remained as
essentially 1970/1980 technology with the exception of spot fixes and limited repairs. The primary issue with
configuration is daisy-chaining the network from one building to the next which can cause outages for facilities
downstream of an initial outage. In addition, facilities do not have redundant communication sources."

"Rutherford, John H.",FL,P683 F35 Aircraft Engine Repair Facility,"374,660","Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project consists of new construction of an aircraft engine repair facility at Fleet Readiness Center Southeast
which includes administrative space and associated adjacent parking facilities. Built-in equipment includes 37 bridge
dual hoist cranes (5 ton), crane rails, cylinders, and five passenger/freight elevators. This project is included on the
FY 25 FYDP as incremental funding in FY27 and FY28.","The funding would be used for new construction of an aircraft engine repair facility which includes administrative
space and associated adjacent parking facilities.  This facility is in support of the new mission for the Maintenance,
Repair, Overhaul, and Upgrade for the F135 engines at Fleet Readiness Center Southeast. This project is included
on the FY 25 FYDP as incremental funding in FY27 and FY28.

Fleet Readiness Center Southeast provides efficient, high quality, and cost effective Maintenance, Repair, Overhaul,
and Upgrade (MRO&U) of aircraft, engines, and aeronautical components to support the American Warfighter.
This project is required for FRCSE to meet new program capacity requirements by 2034 to support the F135
engines that power all three variants of the F-35 Lightning II fighter aircraft. Current projections of all modules show
a steady state of 360 events per year at FRCSE: output of 120 power modules, 120 fans, 60 augmenters, and 60
nozzles. An estimated 400 will be required to support the mission."

"Rutherford, John H.",FL,P290 Child Development Center Planning and Design,"45,750","Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project provides the planning and design funding of a one story Child Development Center (CDC) properly
located, configured, and designed to meet the requirements of FC 4-740-14N and other pertinent codes/criteria for
workflow, building system/infrastructure function( for utilities and access routes) to support the CDC mission on
board NAS Jacksonville.  This project is in the FY 25 FYDP for FY28.","The funding would be used for the planning and design of a one-story Child Development Center (CDC) to provide
additional childcare capacity for the military personnel, authorized civilians, and their families with full time, quality
childcare and development for children. While NAS Jacksonville's childcare programs have been successful, their is
currently a significant wait list for the existing CDC."

"Strickland, Marilyn",WA,"Washington Air National Guard - Western Air Defense
Sector - Generator Replacement","2,800","JBLM, WA","Washington Air
National Guard -
Western Air Defens","852 Lincoln Blvd
JBLM, WA 98538","The generators are over 20 years old and no longer supported by the manufacturer. The switch gear is over 40
years old and not compatible with any generator operating system. Generator and switch failure will have loss of
mission and affect the ability to detect intrusions of national airspace.","32 USC 902 - The Western Air Defense Sector, with headquarters at Joint Base Lewis-McChord, Washington, is
one of two sectors responsible to the Continental U.S. North American Aerospace Defense Command Region
(CONR) and the North American Aerospace Defense Command (NORAD) for peacetime air sovereignty,
strategic air defense, and airborne counterdrug operations in the continental United States.  the generator ensures
mission continuity during power failures enabling continuous monitoring of sovereign airspace."

"Strickland, Marilyn",WA,JBLM Fire Station 105,"68,095","JBLM, WA","Joint Base Lewis-
McChord","Joint Base HQs, Box
339500, Mail Stop
1AA
JBLM, WA 98433","Construct a multi-company Department of Emergency Services facility with headquarters and airfield fire and crash
rescue capabilities at Joint Base Lewis-McChord (JBLM), WA.","The funding would be used for construction of the Joint Base Lewis-McChord Airfield Fire & Rescue Station.
JBLM's McChord Airfield cannot operate without an airfield fire & rescue station. Every building system in the
current facility (Bldg J0006) is failing despite years of repairs. Mold from water leaks and excess moisture continues
to cause health and safety concerns for firefighters. Aircraft crash rescue/fire fighting teams will continue to
experience reduced response times, thus resulting in increased risk to life, health and property, as well as challenges
to support to world-wide deployment missions."

"Van Drew, Jefferson",NJ,AQRC099002; Maintenance Hangar Addition Phase 1,"68,000","Egg Harbor
Township, NJ","New Jersey Air
National Guard","Curtiss Rd, Egg Harbor
Township, NJ 08234","The 177th Maintenance Group requires an adequately sized and configured maintenance hangar for the maintenance
of 18 Primary Assigned F-16s of the 177th Fighter Wing (NORTHCOM Alert).  The hangar must accommodate 6
maintenance spaces for the assigned mission.  Hangar is required to provide space for scheduled inspections,
landing gear retraction tests, major maintenance on airframe repairs, and ensuring Technical Order (T.O.)
compliance and making related modifications.
The 177th Fighter Wing currently lacks the 6 required maintenance spots to perform fighter maintenance and lacks
adequate, correctly sized maintenance shops.  Building 246 is the current maintenance hangar and only supports 4
undersized locations for the assigned F-16s which do not meet the safety clearance requirements.  Companion
project AQRC239000, Alter Maintenance Hangar Phase 2 will convert the existing space to aircraft maintenance
shop space.
Without this project, the 177th Maintenance Group will continue to operate with 66% of required maintenance
spots, impacting the utilization rate, flying schedule, training, and operations of the 177th Fighter Wing to include the
assigned NORTHCOM alert mission.  Aircraft will continue to be parked closer to fixed obstructions than allowed,
causing increased risk to maintenance personnel.
This project directly aligns to the National Defense Strategy (NDS) by enabling the defense of the homeland through
the 177 FW’s Aerospace Control Alert (ACA) mission and building a resilient defense ecosystem flexible enough to
adapt to future missions and requirements.","This project is rated as the #1 priority by the Adjutant General of the NJ Air National Guard in their 2025
MILCON Scoring and Prioritization Data Call. This project is strongly supported by the local community, including
the government of Atlantic County."

"Wittman, Robert J.",VA,Shore Power for Virginia Class Submarines,"2,200","Yorktown, VA","Naval Weapons
Station Yorktown","Naval Weapons Station
Yorkton, 160 Main Rd,
Yorktown, VA 23691","This is a MILCON request to provide $2,200,000 in Planning & Design funds for Shore Power for Virginia Class
Submarines at Naval Weapons Station Yorktown.
The project will construct a new 3,200A utility substation at the south end of Pier R3 at NWS Yorktown
for Virginia Class submarines to conduct loading and unloading operations
The project is currently funded in FY29. However, the project currently needs additional Planning & Design funds.
P&D funding of $2.2 million would take the project to 100% design.
The current working estimated cost of the full project is $21,600,000 as of 22 MAY 2025. A Project Data Sheet
(P1291) is available.","NWS Yorktown substation at Pier R3 is currently only capable of proving 50 percent of the shore power
requirement of the Virginia Class (VACL) submarines.

Without the proposed power upgrades, inadequate shore power will cause reduced operational capability leading to
increases in costs, maintenance, and deployment impacts for Virginia Class submarines."
